Study	Sample	Normal_or_Tumor	Coverage	Notes
Li et al.	PMID27058444;GS000010875-ASM-T	Tumor	genome	originally published by Qin et al.(2016)
Li et al.	PMID27058444;GS000011751-ASM-T	Tumor	genome	originally published by Qin et al.(2016)
Li et al.	PMID28548104;ESCC_10	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_12	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_125	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_130	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_131	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_132	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_134	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_138	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_140	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_142	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_143	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_144	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_145	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_149	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_150	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_152	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_156	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_158	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_16	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_161	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_162	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_168	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_169	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_170	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_171	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_172	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_173	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_175	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_178	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_179	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_182	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_185	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_19	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_191	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_196	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_198	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_199	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_201	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_206	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_208	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_21	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_210	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_213	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_215	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_220	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_222	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_223	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_224	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_225	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_23	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_234	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_235	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_239	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_24	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_240	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_243	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_245	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_246	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_249	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_26	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_27	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_3	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_35	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_36	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_39	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_42	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_48	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_50	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_54	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_55	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_57	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_58	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_60	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_61	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_62	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_64	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_65	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E11	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E25	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E26	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E3	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E30	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E33	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E34	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E45	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E47	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E50	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E71	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E74	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E75	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E78	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28548104;ESCC_E79	Tumor	genome	originally published by Chang et al.(2017)
Li et al.	PMID28608921;ESCC_10A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_11A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_12A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_15A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_16A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_17A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_18A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_19A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_1A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_21A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_22A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_23A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_24A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_26A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_29A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_2A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_30A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_31A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_33A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_34A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_35A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_36A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_37A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_39A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_3A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_41A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_43A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_49A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_4A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_52A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_57A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_5A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_62A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_66A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_6A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_8A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_9A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_B519A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_R176A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_S1A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID28608921;ESCC_S2A	Tumor	exome	originally published by Dai et al.(2017)
Li et al.	PMID30012096;ZH12	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH16	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH17	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH19	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH22	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH23	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH24	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH25	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30012096;ZH26	Tumor	exome	originally published by Guo et al.(2018)
Li et al.	PMID30975989;ESCC001	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC002	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC004	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC005	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC006	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC007	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC008	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC009	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC010	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC011	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC012	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC014	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC015	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC016	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC018	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC019	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC021	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC022	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC023	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC024	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC025	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC026	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC027	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC028	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC029	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC030	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC031	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC032	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC033	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC034	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC035	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC036	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC037	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC038	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC039	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC042	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC043	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC044	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID30975989;ESCC045	Tumor	exome	originally published by Yan et al.(2019)
Li et al.	PMID31289612;11489	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;11515	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;22739	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;22780	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;22833	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;23658	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;23727	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;24311	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;24411	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;25074	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;25089	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;25178	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;25243	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;25287	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;26694	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID31289612;26723	Tumor	exome	originally published by Urabe et al.(2019)
Li et al.	PMID32398863;BDESCC-01-001	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-005	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-011	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-012	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-013	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-014	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-015	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-025	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-031	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-032	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-033	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-036	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-037	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-038	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-042	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-045	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-046	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-048	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-050	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-051	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-054	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-055	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-056	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-058	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-059	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-064	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-065	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-066	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-067	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-069	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-070	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-072	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-074	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-076	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-078	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-079	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-080	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-081	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-084	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-085	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-088	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-091	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-092	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-093	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-096	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-097	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-1000	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-103	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-105	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-107	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-111	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-112	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-115	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-116	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-118	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-121	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-123	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-129	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-130	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-131	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-135	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-136	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-142	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-143	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-146	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-147	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-148	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-150	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-151	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-152	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-154	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-155	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-158	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-159	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-160	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-161	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-163	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-164	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-165	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-166	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-167	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-171	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-174	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-175	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-176	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-177	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-183	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-185	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-186	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-189	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-192	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-195	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-197	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-198	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-199	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-207	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-208	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-209	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-210	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-211	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-214	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-216	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-217	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-220	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-223	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-224	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-225	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-226	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-231	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-232	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-234	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-235	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-236	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-237	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-238	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-239	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-240	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-241	Tumor	genome	originally published by Cui et al.(2020)
